,time,lon,lat,no2,o3,so2,pm2.5,pm10,co
2576,1,23.75,51.75,4.711907704671224,51.55341084798177,2.4012341499328613,9.248416900634766,12.351810455322266,185.9384765625
2577,2,23.75,51.75,6.672050476074219,46.99674987792969,3.451918601989746,17.601890563964844,23.52039845784505,225.71431477864584
2578,3,23.75,51.75,8.941136678059896,41.62401835123698,3.784782727559408,16.831770579020183,21.09075673421224,240.6431681315104
2579,4,23.75,51.75,10.849892934163412,40.62728373209635,6.81170654296875,30.603220621744796,39.30494435628256,322.9646402994792
2580,5,23.75,51.75,4.367971420288086,59.1910400390625,1.9676942825317385,6.767345428466797,9.92236582438151,192.32745361328125
2581,6,23.75,51.75,5.470470428466797,64.75009155273438,2.83476988474528,8.737037658691406,12.398424784342447,215.1993204752604
2582,7,23.75,51.75,3.988536516825358,66.58964029947917,2.259626706441244,10.033594131469728,14.343953450520834,205.709228515625
2583,8,23.75,51.75,3.444417317708333,72.50241088867188,1.5487972895304365,5.076905250549316,7.852352142333984,180.2298583984375
2584,9,23.75,51.75,3.3709338506062827,65.07331848144531,1.7571592330932615,7.309092839558919,10.930250803629557,196.2559814453125
2585,10,23.75,51.75,2.125463962554932,66.27245076497395,1.7208657264709473,9.01907221476237,16.535160064697266,194.0336710611979
2586,11,23.75,51.75,2.7507546742757163,67.95440165201823,2.353064219156901,12.76587422688802,19.986438751220703,206.7664591471354
2587,12,23.75,51.75,6.665029525756836,57.19679260253906,3.172095616658529,13.475392659505207,18.854254404703777,238.40824381510416
2588,13,23.75,51.75,6.449230194091797,57.02246602376302,3.605415344238281,11.691022237141928,15.29217783610026,233.08154296875
2589,14,23.75,51.75,3.4263458251953125,70.3241475423177,3.306269327799479,7.374523162841797,8.968271891276041,203.55668131510416
2590,15,23.75,51.75,4.333731969197591,53.78600056966146,1.712270736694336,9.687926610310871,12.89504369099935,226.9928995768229
2591,16,23.75,51.75,2.189802010854085,60.36713663736979,1.1465875307718914,6.890282948811849,9.467935562133787,193.5027262369792
2592,17,23.75,51.75,3.136035919189453,57.32505289713541,1.5740784009297688,8.570607503255209,10.754508972167969,196.30096435546875
2593,18,23.75,51.75,3.218987464904785,62.31562805175781,2.148265520731608,8.419001261393229,10.59384028116862,220.85530598958331
2594,19,23.75,51.75,6.320889155069987,50.060282389322914,3.1540470123291016,11.731424967447916,14.80643081665039,244.780517578125
2595,20,23.75,51.75,3.76322873433431,55.29505920410156,1.3282179832458496,9.444186528523764,11.82434336344401,232.80094401041663
2596,21,23.75,51.75,6.290002187093099,57.3967539469401,3.705501556396485,13.575438181559244,17.092742919921875,248.1573486328125
2597,22,23.75,51.75,3.0117975870768228,72.09989420572917,1.723237673441569,5.916116078694661,7.444523493448893,181.63045247395837
2598,23,23.75,51.75,2.9431400299072266,69.61583964029948,1.588067372639974,6.902227401733398,9.002310434977213,187.82613118489584
2599,24,23.75,51.75,3.2533696492513022,71.92441813151042,1.3713722229003906,7.019636789957683,9.890617370605469,172.4231974283854
2600,25,23.75,51.75,7.305877685546875,43.70575968424479,3.165989875793457,24.517486572265625,31.58562723795573,234.41495768229169
2601,26,23.75,51.75,5.564960479736328,57.225911458333336,4.242970148722331,26.91377258300781,33.58101145426432,226.86397298177084
2602,27,23.75,51.75,3.029545148213705,72.33919270833333,4.629683176676433,35.60102335611979,43.137044270833336,274.54526774088544
2603,28,23.75,51.75,5.751485824584961,60.07496134440104,2.847503662109375,11.434673309326172,13.744247436523438,216.64302571614584
2604,29,23.75,51.75,5.245738347371419,62.60958862304688,2.7240079243977866,16.80096944173177,22.973101298014324,245.2927449544271
2605,30,23.75,51.75,9.73015594482422,35.46642557779948,2.831586201985677,22.549057006835938,30.10802459716797,282.1339111328125
2606,31,23.75,51.75,6.804795583089192,53.15184020996094,3.848567326863607,17.73084259033203,22.710474650065105,217.03190104166663
2607,32,23.75,51.75,6.012970606486003,67.12367757161458,4.8171946207682295,25.36054229736328,32.11887868245443,260.8836669921875
2608,33,23.75,51.75,2.8259572982788086,65.22861226399739,1.3818353017171223,4.990087191263835,7.666150410970052,172.67671712239584
2609,34,23.75,51.75,3.139698028564453,59.61149088541666,2.091157595316569,8.080190022786459,11.056226094563804,194.2342732747396
